蘄	蕲
誇	夸
氈	毡
漊	溇
預	预
龕	龛
辮	辫
瀠	潆
璣	玑
錢	钱
檇	槜
媧	娲
礦	矿
鶩	鹜
鰨	鳎
貳	贰
踴	踊
銷	销
鄶	郐
閹	阉
鐸	铎
輊	轾
談	谈
豈	岂
鏍	镙
駑	驽
癢	痒
織	织
腖	胨
軟	软
遠	远
嶺	岭
癤	疖
緩	缓
屨	屦
齪	龊
飩	饨
歲	岁
鐿	镱
鯽	鲫
黿	鼋
䴉	鹮
沈	沈,沉
個	个
劌	刿
鋙	铻
閎	闳
餑	饽
鰓	鳃
鮒	鲋
鼕	冬
憖	慭
攙	搀
頲	颋
謝	谢
檜	桧
丟	丢
無	无
鎢	钨
眥	眦
禦	御
氳	氲
殲	歼
鈷	钴
囈	呓
頻	频
媼	媪
綾	绫
摃	扛
闊	阔
曄	晔
賈	贾
運	运
鍍	镀
鋌	铤
嗎	吗
饑	饥
屓	屃
鯒	鲬
齕	龁
衛	卫
殞	殒
諜	谍
蹟	迹
鑣	镳
鏢	镖
盤	盘
姦	奸
虯	虬
嵒	岩
併	并
剷	铲
斃	毙
蠆	虿
贈	赠
劍	剑
鞏	巩
齙	龅
經	经
弔	吊
蘚	藓
鉛	铅
簷	檐
馱	驮
閣	阁
線	线
嚥	咽
頦	颏
鴨	鸭
憫	悯
梱	阃
唸	念
瘺	瘘
媽	妈
簾	帘
瘍	疡
釋	释
湊	凑
呎	尺
奐	奂
鷓	鹧
齔	龀
聖	圣
蕘	荛
櫝	椟
譜	谱
濟	济
鯧	鲳
鳩	鸠
絨	绒
繪	绘
蟯	蛲
該	该
鴇	鸨
遶	绕
詫	诧
燁	烨
螄	蛳
躊	踌
鈍	钝
鎌	镰
頑	顽
紓	纾
鸕	鸬
龔	龚
薘	荙
訝	讶
讜	谠
輟	辍
貞	贞
犢	犊
鬧	闹
鰩	鳐
鸝	鹂
脫	脱
麪	面
蠱	蛊
課	课
皺	皱
蟄	蛰
車	车
鉍	铋
鏌	镆
睏	困
慳	悭
鵓	鹁
髒	脏
繕	缮
軸	轴
別	别
壯	壮
轟	轰
賞	赏
啣	衔
勢	势
噥	哝
筧	笕
籩	笾
編	编
慫	怂
蓮	莲
迴	回
獷	犷
鑹	镩
彿	佛
糾	纠
戀	恋
煖	暖
鮑	鲍
纓	缨
餒	馁
錯	错
輞	辋
鎡	镃
閥	阀
復	复
耬	耧
朮	术
溳	涢
褲	裤
傷	伤
錶	表
嘸	呒
鮋	鲉
么	么,幺
凍	冻
瓏	珑
饒	饶
鱔	鳝
櫛	栉
鏡	镜
牠	它
監	监
煢	茕
闥	闼
瑤	瑶
磧	碛
鵪	鹌
擯	摈
詰	诘
